included,dataset,mean,lower,upper,mean_CCE,lower_CCE,upper_CCE
1,BrightKite,0.6799692142275322,0.6368927798431898,0.7208725802742727,2.0163629556877845,1.816343867711497,2.2444619707000886
1,Gowalla,0.6278508569468004,0.5702904106115383,0.6940874397397072,1.1966879926709413,1.173421310004189,1.2202583530609747
1,Weeplace,0.4106584348055143,0.3945488305651498,0.42729906098704606,1.5112985590919659,1.4804927151396825,1.5438107820743718
2,BrightKite,0.7589538714465607,0.7205626834729635,0.7960592459707583,1.6077950065700495,1.5024143667299352,1.7284059562783278
2,Gowalla,0.709772596758449,0.665261260798268,0.7613459765324893,1.1591261142383835,1.1383050503583505,1.1816226018942977
2,Weeplace,0.5271270839294072,0.5124239842250141,0.5421244362416153,1.4325498273347397,1.4049034139482484,1.4648400053339885
3,BrightKite,0.7905578059407412,0.7547567366067238,0.8248447527851863,1.4786646665935004,1.3873232836323546,1.5825542590332464
3,Gowalla,0.7753862092588263,0.7314283405235078,0.8239823585569639,1.132165426346361,1.1114619840020665,1.1536011372951027
3,Weeplace,0.5882144375828325,0.5737684356663822,0.6029602388448344,1.3888667339513527,1.3624951898635864,1.4191465351658414
4,BrightKite,0.8087839832071103,0.7760160862476588,0.8403384193500698,1.4283627880477794,1.3462243424763827,1.5225865090031396
4,Gowalla,0.8139045009723757,0.775319819680553,0.8529971842952332,1.1136682315024466,1.0939648101270847,1.1347089258952572
4,Weeplace,0.6306985628168784,0.6157575190067353,0.6456388174857373,1.3575387504045249,1.3319490141880377,1.3864870599286052
5,BrightKite,0.8209376048897331,0.790076236903587,0.8513941683306935,1.3985582343554654,1.3201234292068922,1.4886296156861043
5,Gowalla,0.8468125958627488,0.8084987147340197,0.8856968551816831,1.0998564428272344,1.080581424859559,1.1202650771992684
5,Weeplace,0.664053806334703,0.6494819885147459,0.6788567746926826,1.3328753625148424,1.3074162080503806,1.360990267177879
6,BrightKite,0.8309185013487942,0.8002011585642445,0.8598662040992929,1.3693225030771954,1.2938686193420312,1.459284004995679
6,Gowalla,0.8754219232834921,0.8365882615234118,0.9154380115102416,1.0892600571949935,1.0700770251116505,1.1094379505769378
6,Weeplace,0.6910268061557644,0.6763781184821075,0.7057332241325518,1.3117053477880645,1.2877333887075006,1.339239284011466
7,BrightKite,0.8393540539325509,0.8085232857231074,0.8679086834726597,1.3447035516564914,1.273912584856846,1.428939252577788
7,Gowalla,0.9028441767968302,0.8627491566504237,0.9454455390853845,1.079009761224203,1.0596282706028346,1.099714830231314
7,Weeplace,0.711621056003642,0.6965348620904931,0.726622995167505,1.296166114782334,1.271867501100723,1.3234487994493145
8,BrightKite,0.8487611557531264,0.8201725159054608,0.8764801582432791,1.3260883378283843,1.2541763466367273,1.4099769893964509
8,Gowalla,0.922215667257513,0.8818139616847742,0.9642078055105643,1.0710431793039954,1.051843502876368,1.0915887095391719
8,Weeplace,0.7301307199629039,0.7153772993017874,0.744666510626162,1.2818054654613311,1.2585513880446455,1.3082019327914365
9,BrightKite,0.8565045006962366,0.8285919692332386,0.8833047835383743,1.300241675099823,1.2310547406572905,1.3798352919041967
9,Gowalla,0.9413314367264293,0.8994980633063018,0.9837627404628166,1.0631728595178007,1.0440791025779943,1.0837278147089537
9,Weeplace,0.7465869817103216,0.7313209375556246,0.7613874478986048,1.2692833263071204,1.2457922728056134,1.2951091576094502
10,BrightKite,0.860500051095521,0.8325271381219308,0.886734957879367,1.2898159468057888,1.2199666961974203,1.371431317229763
10,Gowalla,0.9596674307763683,0.9164105446084437,1.0049544330560212,1.056431631337844,1.036923002224921,1.0769522518292303
10,Weeplace,0.760581881911725,0.7458071458539314,0.7756966202453968,1.2582914796171607,1.2359599314360523,1.283214869952122
