Rank,category,lower_Pi_alters_ratio,upper_Pi_alters_ratio,mean_Pi_alters_ratio,lower_Pi_ego_alters_ratio,upper_Pi_ego_alters_ratio,mean_Pi_ego_alters_ratio,lower_Pi_alters,upper_Pi_alters,mean_Pi_alters,lower_Pi_ego_alters,upper_Pi_ego_alters,mean_Pi_ego_alters,lower_CCE_alters,upper_CCE_alters,mean_CCE_alters,lower_ODLR,upper_ODLR,mean_ODLR,lower_CODLR,upper_CODLR,mean_CODLR
1,CB-1H-CN,0.39191287511486445,0.4735891836437131,0.4311630837829635,1.0452396674831865,1.0637892331327956,1.0541088254722855,0.1420614197757401,0.16700160680907233,0.15417158974696737,0.38081308744181375,0.40722724581543984,0.39409260647356253,7.653783937862132,7.879593867683467,7.763570475571445,0.05844539025853827,0.07362720795087987,0.06572507473254843,0.05829727775961265,0.07359065927273856,0.06572507473254843
1,SW-1H-CN,0.3825646743463544,0.4626787063873958,0.4212687458801181,1.0465677499546189,1.0673686516165581,1.0562543371349868,0.1383604850523879,0.16326341368373468,0.15072817483212436,0.3817884714257015,0.4077127906377647,0.39478301420192224,7.676208049512605,7.904640552121413,7.786692469426807,0.056796058170992376,0.07018901358977944,0.06333110465219954,0.05675294156043921,0.07030485953294426,0.06333110465219954
2,CB-1H-CN,0.4613649184530663,0.5265749164197563,0.4931661661371054,1.077585704543906,1.106606292476978,1.091631012918753,0.16542975302672908,0.18517017949555722,0.1751422401545368,0.3928798406587977,0.41761338433015,0.40526213028148483,7.552532054735062,7.772946998284518,7.663028966991526,0.0509279910287549,0.06372247495066408,0.057021754193976454,0.09105934883106362,0.11111393082881602,0.10103537673130414
2,SW-1H-CN,0.4542444280953494,0.5155070438922605,0.48426565987426035,1.0756003005722665,1.104104060176365,1.089584449510249,0.16377428607818376,0.18251672372704808,0.17299654005858126,0.3924803758747754,0.4168127111338346,0.4046250995313173,7.568702007138855,7.795074524518185,7.681180352281275,0.05266839367225423,0.06667537465405143,0.059404562185923535,0.09052478249067793,0.10978218669458228,0.09972440189826665
3,CB-1H-CN,0.5214276716799736,0.5876853150909742,0.5538948060984625,1.0999529686538698,1.134776912930431,1.116980015388009,0.187136890522975,0.20559530018732539,0.1961922786409913,0.40121140473943995,0.4251950705577922,0.4129954811916389,7.4257145006052685,7.645082960430452,7.536228154636432,0.04451381635963576,0.0540053629829779,0.04916620005611863,0.11313888637071626,0.13474515366206502,0.12356582883585189
3,SW-1H-CN,0.5132970570067039,0.5779074917949693,0.5451555720681914,1.099882171687299,1.134896118667117,1.1166537036928863,0.1841107081312503,0.2028890226000004,0.19319457971048085,0.4009880237679819,0.4246301829169307,0.41275447837725415,7.44501238685034,7.671151864046694,7.555545859729208,0.04387150218054829,0.054972706597226424,0.04916026638886797,0.11311688843769205,0.13500779419336864,0.12390496097160887
4,CB-1H-CN,0.5627749350529719,0.6334795268975594,0.5977132218651262,1.1192901807990394,1.1597526814697077,1.1387587914928243,0.20150750018028996,0.21975348890337532,0.21045729682245265,0.40799116402240465,0.4311401026405868,0.41951006655901624,7.336827739739651,7.551828647075875,7.443900018882639,0.04432804459505214,0.055534417749812555,0.04972948741459826,0.13153647283849765,0.15583359161976892,0.14335491914733534
4,SW-1H-CN,0.5554493866267944,0.6249572984473882,0.589451948009249,1.1194416142616674,1.1590923997271423,1.138428981913498,0.19916295893983854,0.2175518966195134,0.20820219597144712,0.4082228797961082,0.43116677181925966,0.41952718365599867,7.3469952788550215,7.571027622332707,7.4598047708482875,0.042184075863212336,0.051349084388549224,0.04658487304821736,0.13005892339035643,0.15402534720163058,0.14170548633548297
5,CB-1H-CN,0.5972656532746848,0.6727578237139156,0.6344328283973892,1.1357334507135306,1.181198508331075,1.1572523813698004,0.21447430649011162,0.2324677361518209,0.22311618150775697,0.4141809699097573,0.4361456925598874,0.4251588898323258,7.253585440125353,7.465159408215207,7.360444299267474,0.04032682123974728,0.049345644630419246,0.0446956013537485,0.14542472822862193,0.17161407365351983,0.15817819621802656
5,SW-1H-CN,0.5904537249329154,0.6633874818961709,0.6266856062146219,1.1361680723008865,1.179911794313485,1.1575247806626479,0.21115337500228565,0.23025213066216915,0.22047401405867453,0.4142242707140316,0.4369863999433635,0.42549481820160995,7.269858070333983,7.4906207864426895,7.378647166061085,0.0397849291984013,0.047334991038413925,0.043490819591520895,0.14318384780651308,0.16864127519194114,0.15564149598286386
6,CB-1H-CN,0.630442509323747,0.7076181017800715,0.6679174578498499,1.1503973792219082,1.198972771091716,1.1737860020405877,0.22540683627254818,0.24411463792026294,0.23459035101666056,0.41950213436128775,0.4412982831380455,0.43029509697744894,7.178828482546924,7.389394844685633,7.2820638003593166,0.039504596506471326,0.048284843909077696,0.04384393494951058,0.15746454968575962,0.18468633254839362,0.17092473802159386
6,SW-1H-CN,0.6179002313661357,0.6947321383292956,0.6553689920231639,1.1502814846489546,1.1972505439405863,1.172620625357303,0.22025327745202533,0.23917461232922782,0.22965355532844964,0.4191755380590874,0.4407493861929658,0.43005743792900564,7.208639378333425,7.427837309346803,7.316605342746085,0.037909038277209435,0.047277065942906316,0.04230750619001263,0.15442748725419275,0.18109860042579276,0.16750542728170087
7,CB-1H-CN,0.6540441711344709,0.7340417249314728,0.6932785174787047,1.1629128647367322,1.2152024929064764,1.1879452720133286,0.23364876630386927,0.25258108515439404,0.24303759226348973,0.4240290943164786,0.4454898659199559,0.43475404569391835,7.11663868679181,7.329375098260189,7.223681410810675,0.03560701292134699,0.04407483643854563,0.039620623232342105,0.16652557376938482,0.19514683874591904,0.18051154950699863
7,SW-1H-CN,0.6438002058806291,0.7237910371085777,0.682825316130262,1.1628402495217245,1.2129368595979948,1.187302361784792,0.22951133845802438,0.24882326093320997,0.23907112381614284,0.42400662514467796,0.44527093521356975,0.4346365664207139,7.14388287047598,7.3641544914762616,7.254338016646212,0.03844801559109877,0.047446844428005605,0.04276424295880237,0.16558132768418712,0.1938963391986781,0.17947693115225222
8,CB-1H-CN,0.6799820644786512,0.7624859482888644,0.7196653683096417,1.1750574350677314,1.229093052240248,1.201331979274816,0.24270050283677014,0.26239034375139836,0.25246854805567975,0.42848370923163215,0.44959891868083873,0.43912592166040304,7.051645204296189,7.265364330467107,7.156787708060278,0.0375735893350235,0.045607205688944885,0.041437242275944544,0.17678068012651027,0.20623942758949237,0.19116431138406623
8,SW-1H-CN,0.6665265317412711,0.7472561379616267,0.7063286783004231,1.1747982969916517,1.227076716267048,1.1995507830231267,0.2375181570096191,0.25708302229837027,0.2472032611755579,0.42819884751040804,0.44945061336338765,0.43867712741845866,7.085707614297805,7.3099898840490924,7.197523756242407,0.038797937532196715,0.047597130240646594,0.04304869538133797,0.1759134216203654,0.20488164722613883,0.1900593482950517
9,CB-1H-CN,0.7008409382429518,0.7845509220948814,0.7422073426638194,1.1861241997888075,1.241953427459464,1.2129329392546309,0.2502061493660736,0.270332435935363,0.26030462137665383,0.4325998019799922,0.4533063823744632,0.4428840085638756,6.994393540377604,7.209685952560165,7.103181576484923,0.03546875568250461,0.043354596580998286,0.039226538831347,0.185120832393546,0.21548068810787654,0.19987103155509647
9,SW-1H-CN,0.6870683770619977,0.7723732162079497,0.7281742570963728,1.1860023297511197,1.2397907547848481,1.211988274507989,0.24446863299130642,0.26481104107108505,0.2544382766191958,0.4321860475157213,0.4532586078372858,0.44264851913877706,7.034815525300651,7.261294118283846,7.146509642688059,0.03798440413605065,0.04653503529609572,0.04217198391352034,0.18465892923933977,0.21543038024157807,0.19980750517237422
10,CB-1H-CN,0.7132362857093475,0.8022250283182896,0.7560024254252851,1.1951639980347515,1.253238825752807,1.2234273328924425,0.25529801440502337,0.27544157839524236,0.2649411955045107,0.43562320905409846,0.4568289971672568,0.44622221144653845,6.961872484135541,7.178073443395605,7.070622850165886,0.04042231350589248,0.04998048675729864,0.04494765503469148,0.1941953750250162,0.2254251611217289,0.2097359892619458
10,SW-1H-CN,0.7042788819020624,0.792975580285383,0.7466642511704277,1.194845777558955,1.25210737805057,1.2224323149293757,0.2509546522888117,0.27127661709537615,0.2609355111522899,0.43564582990106987,0.4562729949485403,0.4459765788023574,6.987882470585013,7.21289535230724,7.100567224306133,0.03707235145681674,0.04541009514814417,0.04102698143499577,0.19366558977060494,0.2241378899702231,0.2086241635450848
